Gene1,Gene2,connected_driver_gene,gene_type,confidence
MEX3B,AGO1,,3,0.82
BAP31,LMAN1,,3,0.84
FA8A1,SYVN1,,3,0.9
PRS10,PSMD8,,3,0.92
RANB9,ARMC8,,3,0.83
RYBP,UBP7,,3,0.83
CUL4B,CSN7B,,3,0.87
AGO3,TNR6C,,0,0.89
CUL1,CCNA2,,3,0.88
CUL3,NUP50,,1,0.86
CUL4B,UBP7,,3,0.82
UBE2K,MDM2,MDM2,0,0.81
CUL4B,HSP7C,,3,0.89
CUL4B,GRP75,,3,0.89
MD2BP,CDC20,,3,0.9
CUL3,TERA,,1,0.82
CUL4B,GRP78,,3,0.86
CUL4B,HS90A,,3,0.82
PSA2,TERA,,3,0.82
CUL2,HNRPD,,3,0.82
TA2R,PSME3,,3,0.82
VPS28,UBAP1,,3,0.83
YAF2,WDR5,,3,0.83
TBG1,HS90A,,3,0.87
CUL1,DDB1,,3,0.82
CUL1,DDB1,,3,0.82
ARMC8,MAEA,,3,0.85
FYN,EFS,,3,0.81
CUL1,DDX1,,3,0.86
TE2IP,PRP16,,3,0.87
TE2IP,CI078,,3,0.87
PHF10,SMRC1,,3,0.87
PHF10,SMCA2,,3,0.87
PHF10,SMCA4,,3,0.87
GBRL2,OPTN,,3,0.84
CUL3,PDIA6,,1,0.86
LRC14,ELOC,,3,0.82
LRC14,ELOB,,3,0.83
DX39B,THOC5,,3,0.88
YAF2,MGAP,,3,0.87
CUL2,PLAK,,3,0.86
TPC2L,TPC11,,3,0.82
UCHL3,UCHL3,,3,0.93
WDR5,KAT2A,,0,0.83
LRRK2,MYO1D,,3,0.82
LRRK2,MYO1C,,3,0.87
LRRK2,MYL6,,3,0.82
MEX3B,PABP1,,3,0.82
CUL3,IPP,,1,0.87
RAB5A,RUFY1,,3,0.84
UBA6,UBD,,3,0.87
SOSB2,SOSSC,,3,0.87
P85B,P55G,,3,0.83
PSA4,PSB1,,3,0.94
TOM20,TOM40,,3,0.85
DCNL1,DDB1,,3,0.82
DCNL1,DDB1,,3,0.82
YETS4,KDM1A,,3,0.82
RND1,RHG35,,3,0.82
PSA4,PSB6,,3,0.89
PSA4,PSB5,,3,0.89
PSA4,PSB4,,3,0.94
PSA4,PSB9,,3,0.89
PSA4,PSB8,,3,0.89
SAMH1,VPRBP,,3,0.89
AKT1,UCHL1,,1,0.82
PSA3,PSB9,,3,0.97
UBXN4,DERL1,,3,0.82
PSA3,PSA5,,3,0.92
TE2IP,PPM1G,,3,0.86
ATX3,PML,PML,2,0.82
HERC2,NEUL4,,3,0.83
ANDR,TBL1R,,3,0.83
MBIP1,TADA3,,3,0.83
UBS3B,MYH9,MYH9,2,0.82
TE2IP,DPOD1,,3,0.87
CUL3,CH60,,1,0.82
CUL3,HS90A,,1,0.82
NEDD8,SKP1,,3,0.92
RYBP,TFDP1,,3,0.87
CSN6,RHBT1,,3,0.87
CUL3,HSP74,,1,0.82
PSMG1,PSMG2,,3,0.89
TPPC1,TPC11,,3,0.87
TRAF3,TAXB1,,3,0.82
TBC25,GBRL2,,3,0.88
TBC25,GBRAP,,3,0.88
SHC1,GRP78,,3,0.82
PP1A,ACTB,,3,0.83
SHC1,HSP7C,,3,0.83
SHC1,GRP75,,3,0.88
CUL4B,K2C1,,3,0.82
FBX6,PCP,,3,0.83
CUL4B,K1C9,,3,0.82
TFAP4,NFIC,,3,0.82
CD2AP,CAZA2,,3,0.83
CUL4A,DCAF7,,3,0.82
BARD1,FANCJ,,1,0.84
LRRK2,MYO1B,,3,0.87
NEDD8,"DHSA,SDHA",,3,0.82
MDM2,CUL4B,,1,0.82
NAF1,DKC1,,3,0.9
PSA1,"PSD7,PSMD7",,3,0.89
UBC12,CUL3,CUL3,2,0.81
AKT1,GRP78,,1,0.83
PSB3,PSMG3,,3,0.85
PCGF2,SCMH1,,0,0.83
GRP75,DNJA3,,3,0.93
TPPC9,TPC10,,3,0.82
PCGF2,SCML1,,0,0.82
CDK2,IMDH2,,3,0.83
P53,RS10,,3,0.82
PHC2,SCML1,,3,0.82
SUMO1,RNF4,,3,0.9
CUL4B,CUL4B,,3,0.81
GBB1,GNAI1,,3,0.98
RRP44,RRP44,,3,0.88
SMRD3,SMCA4,,3,0.88
PTN14,AMOT,,3,0.87
YETS4,MYC,MYC,2,0.88
PSF2,PSF3,,3,0.95
AKT1,HSP7C,,1,0.83
CUL4B,"DBPA,YBOX3",,3,0.86
ACK1,HS90A,,3,0.83
CUL4B,RBP56,,3,0.86
IQGA1,ACTB,,3,0.85
UHRF1,H32,,1,0.88
UHRF1,H32,,1,0.88
UHRF1,H32,,1,0.88
HDAC1,TIF1B,,3,0.83
ERN 1.00,SE1L1,,3,0.82
TRIPC,UB2D1,,3,0.86
IKKE,TRAF3,,3,0.83
M3K2,M3K2,,3,0.81
AAPK1,STK11,STK11,2,0.86
TPC2A,TPPC8,,3,0.83
CUL4A,ROA2,,3,0.82
CUL3,KLHL2,,1,0.87
ELOC,ASB6,,3,0.89
FA21C,FKB15,,3,0.83
MAP1B,LRRK2,,3,0.88
LRRK2,TAU,,3,0.89
KIF3A,KIFA3,,3,0.9
TPC2L,TPC10,,3,0.83
PRS4,PSMD8,,3,0.96
RB33B,A16L1,,3,0.85
CUL3,NUDC3,,1,0.87
CYBP,CYBP,,3,0.9
YETS2,SGF29,,3,0.83
ROA1,HNRPF,,3,0.87
RAB8A,TFR1,,3,0.8
P85B,K1C15,,3,0.82
PRS4,PSB5,,3,0.89
PRS4,PSA3,,3,0.83
NEDD8,TBB5,,3,0.82
CUL1,MYOV2,,3,0.82
PSB8,PSB3,,3,0.94
PHC1,PHC1,,3,0.82
CUL3,SF3B3,,1,0.82
ALG2,TS101,,3,0.83
MYO6,LMTK2,,3,0.88
FRS2,FLOT1,,3,0.87
CUL3,PEF1,,1,0.84
CDK2,HS90B,,3,0.82
CDK2,CH60,,3,0.89
CDK2,HS90A,,3,0.82
CUL5,TOP2B,,3,0.87
SPG20,SMUF1,,3,0.88
CUL3,KCTD2,,1,0.95
CUL1,STAU1,,3,0.82
CSN4,FBX17,,3,0.83
UBP37,FBW1A,,3,0.88
YAF2,FBRS,,3,0.87
CUL4B,FUBP2,,3,0.86
SNX3,VPS35,,3,0.85
BIRC2,E2F1,E2F1,2,0.81
CUL1,FXL18,,3,0.86
NEDD8,CSN1,,3,0.88
DNMT1,MTA2,,1,0.83
CUL1,FXL14,,3,0.89
CD2AP,SH3G2,,3,0.86
DDA1,DCA15,,3,0.83
UB2J1,TERA,,3,0.82
RB15B,RBM15,RBM15,2,0.83
RING2,E2F6,,3,0.85
MPIP1,SKP1,,3,0.85
DYHC1,KTNB1,,3,0.84
CSN5,METK2,,3,0.82
AP2M1,AP2A1,,3,0.89
CSN5,RHBT1,,3,0.82
TRAF4,FAK2,,3,0.82
UBD,UBD,,3,0.86
ASF1A,MCM6,,3,0.83
ASF1A,MCM7,,3,0.83
ASF1A,MCM2,,3,0.9
ASF1A,MCM4,,3,0.83
ELOC,RB40B,,3,0.87
RING2,PHC2,,3,0.95
LNX1,KCNA4,,3,0.83
HOOK1,HOOK3,HOOK3,2,0.89
RB40B,CUL5,,3,0.88
CUL5,SOCS4,,3,0.83
CSN5,FXL14,,3,0.82
CUL3,KLHL4,,1,0.82
RO60,LA,,0,0.82
SMRD3,MYOD1,MYOD1,2,0.83
GO45,TNKS1,,3,0.83
CDK9,PAF1,,3,0.87
CSN5,PIMT,,3,0.82
ROA1,NKRF,,3,0.82
CUL3,LRC42,,1,0.87
ANDR,SIN3A,,3,0.82
ESR1,HAKAI,,1,0.86
PSB1,PSA7,,3,0.96
PSN1,PSB1,,3,0.87
SPG20,WWP2,,3,0.82
DDB2,CSN7A,,1,0.83
P63,UBC9,,3,0.83
PRP8,PRP8,,3,0.83
ESR1,TBL1R,,1,0.83
TPX2,BRCA1,BRCA1,2,0.87
PHC1,SCML1,,3,0.87
CDK2,HMGB2,,3,0.82
CSN5,GTPB1,,3,0.82
TF3C2,TF3C1,,3,0.87
ERCC2,MAT1,,1,0.99
PSB7,PSA7L,,3,0.96
FAF2,UBAC2,,3,0.83
ASF1A,NASP,,3,0.89
HDAC6,RS6,,3,0.83
UBQL2,UBQL1,,3,0.83
RING2,CSK 22.00,,3,0.95
CDK1,CDN1B,,3,0.89
FBW1A,PLK4,,3,0.87
I10R1,FBW1A,,3,0.86
CUL5,TULP4,,3,0.87
KHDR1,ITSN2,,3,0.86
EDEM1,SC61B,,1,0.82
CUL3,MEP50,,1,0.82
VPRBP,CSN8,,3,0.83
PRKN2,PSMD2,,3,0.83
TPC2A,TPC11,,3,0.83
MECP2,CBX3,,3,0.82
ARHG7,LRRK2,,3,0.89
CDC42,FGD3,,3,0.8
CSN5,ASB6,,3,0.83
RABX5,RAB5A,,3,0.85
YETS2,KAT2A,,3,0.83
CSN5,AIMP1,,3,0.82
UBQL1,A4,,3,0.88
PJA1,UBP7,,3,0.84
PSA2,PSME4,,3,0.83
RXRA,BHE40,,3,0.86
CSN7A,CUL1,,3,0.88
EDAD,TRAF6,,3,0.85
PSA6,PSB8,,3,0.96
SQSTM,PRS7,,3,0.84
TPPC1,TPC10,,3,0.87
TF2H1,RPB1,,3,0.84
UBC9,TIF1B,,3,0.81
EGFR,TRAF2,,1,0.9
NEMO,RB11A,,3,0.88
H2AZ,ING3,,3,0.83
NEU2,CRYAB,,3,0.8
PSA6,PRS4,,3,0.89
PSA6,PSME1,,3,0.82
TBA1A,TAU,,3,0.88
NUCL,NPM3,,3,0.83
CDC27,CDC27,,3,0.87
PCGF6,MGAP,,3,0.87
DSS1,BRCA1,BRCA1,2,0.82
SSRP1,H2B2E,,3,0.91
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
SSRP1,H4,,3,0.92
CSN5,FBX7,,3,0.87
MKL1,ACTB,,3,0.82
CUL3,KBTB8,,1,0.85
DDB2,CSN4,,1,0.83
PCGF5,AUTS2,,3,0.89
ERBB3,PTN11,,1,0.92
MDC 1.00,CDC20,,3,0.8
FGF23,FGFR1,FGFR1,2,0.89
CUL3,RCBT1,,1,0.84
RFWD2,MVP,,3,0.83
PCGF3,BCORL,,3,0.88
CSN5,FA98A,,3,0.82
TXN4A,PRP6,,3,0.94
M3K1,RHOA,RHOA,2,0.83
ZNRF2,1433T,,3,0.82
APC4,APC4,,3,0.83
DDA1,RFWD2,,3,0.83
ROA1,CPSF6,,3,0.82
ROA1,WDR33,,3,0.82
ARMC8,MKLN1,,3,0.83
NFX1,PABP1,,3,0.85
ACK1,ACK1,,3,0.89
DPF1,SMCA2,,3,0.83
DPF1,SMCA4,,3,0.83
CDK2,ALDOA,,3,0.82
DPF1,SMRC1,,3,0.83
CD244,FYN,,3,0.82
UBAP1,VP37A,,3,0.83
KLDC3,CUL2,,3,0.87
CSN5,PLAK,,3,0.82
CDK1,FZR,,3,0.84
KLHL2,KEAP1,KEAP1,2,0.83
ATX1,SUMO1,,3,0.83
BCL10,IKKB,,1,0.86
LMAN1,CALX,,3,0.84
PABP1,UBR5,UBR5,2,0.86
SPSB4,PAWR,,3,0.86
YAF2,CSK 22.00,,3,0.88
YAF2,CSK 21.00,,3,0.88
TE2IP,NUMA1,NUMA1,2,0.87
TPC2A,TPPC4,,3,0.83
FKBP8,PRS4,,3,0.85
MEX3B,1433F,,3,0.87
COPA,COPZ1,,3,0.92
KHDR1,YES,,3,0.95
CSN5,ELOC,,3,0.82
CSN5,ELOB,,3,0.82
CSN6,JUN,JUN,2,0.84
AMOT,AMOT,,3,0.87
PCGF5,CSK 22.00,,3,0.88
PCGF5,CSK 21.00,,3,0.88
PCGF5,CSK2B,,3,0.87
LIS1,HS90A,,3,0.87
KLDC3,CUL5,,3,0.82
TRAF4,TRAF4,,3,0.9
COPG1,COPA,,3,0.88
SPOP,SPOP,,1,0.81
TTP,PABP1,,3,0.82
ARMC8,CTNA1,,3,0.82
FZR,GEMI,,3,0.81
PCGF6,RYBP,,3,0.89
UB2D2,NED4L,,3,0.86
RANB9,MAEA,,3,0.89
ATX3,HAP1,,3,0.83
ULK1,AMRA1,,3,0.88
CUL1,FBX30,,3,0.82
CUL5,DCA11,,3,0.82
CSN5,HNRPL,,3,0.82
WDR5,SGF29,,0,0.87
HD,DNJA1,,3,0.83
CUL3,KLH15,,1,0.87
HSP7C,HD,,3,0.85
ANRA2,RFX5,,3,0.83
CUL3,ABTB1,,1,0.93
VPS41,VP33B,,3,0.88
CUL1,FBXW9,,3,0.83
CUL3,LZTR1,,1,0.84
CUL4A,UBC12,,3,0.81
HIF1N,HIF1N,,3,0.87
SHRPN,HOIL1,,3,0.89
CUL3,KLH22,,1,0.87
CUL3,GMCL1,,1,0.87
PCGF3,AUTS2,,3,0.83
DPF3,SMRD1,,3,0.88
A16L1,RB33A,,3,0.85
UBP7,PML,PML,2,0.84
ADRB2,GBB1,,3,0.83
CUL3,MCM7,,1,0.82
CUL3,METK2,,1,0.84
NEUL4,CE170,,3,0.82
SNUT1,PRP8,,3,0.89
ADRB2,ALEX,,3,0.84
DPF3,SMRC1,,3,0.89
DPF3,SMCA2,,3,0.89
DPF3,SMCA4,,3,0.89
DPF3,SNF5,,3,0.89
MLP3B,TBK1,,3,0.84
THOC4,THOC7,,3,0.85
FBX6,ANAG,,3,0.83
ZNRF3,RSPO1,,1,0.9
CDK2,CDK1,,3,0.82
SHRPN,RNF31,,3,0.9
CUL4B,SRSF3,SRSF3,2,0.86
SUMO1,C8AP2,,3,0.86
RING2,TFDP1,,3,0.88
FBW1B,B2L11,,3,0.83
NEUL4,RPB1,,3,0.82
CUL4B,DAZP1,,3,0.86
VPS53,"FFR,VPS51",,3,0.89
CUL4B,EWS,,3,0.87
UBXN6,ASPC1,,3,0.83
ERCC8,CSN8,,3,0.83
PTPA,TRI18,,0,0.84
RING2,YAF2,,3,0.96
NEDD8,TITIN,,3,0.82
RFA1,SMAL1,,3,0.83
CSN3,BTBD1,,3,0.83
NC2B,WDR5,,3,0.83
CUL3,FUBP2,,1,0.82
CUL1,ARI1,,3,0.88
CK5P2,GCP2,,3,0.82
PRPK,CN142,,3,0.89
ROA1,DSRAD,,3,0.87
ATRX,H32,,1,0.82
ATRX,H32,,1,0.82
ATRX,H32,,1,0.82
CUL4B,TBB5,,3,0.86
IKBA,PIN1,PIN1,2,0.82
CCNF,RBX1,,3,0.83
NEUL4,MK06,,3,0.88
CUL3,CSN7B,,1,0.87
UBQL2,UBQL2,,3,0.85
ITCH,UBP12,,3,0.82
DSS1,PSMD6,,3,0.83
EDEM1,DERL2,,1,0.82
CSN5,"K1737,CIPC",,3,0.87
ATX1,HSP7C,,3,0.83
DET1,UB2E1,,3,0.83
DNJB2,HSP74,,3,0.81
CUL3,GCP60,,1,0.86
CUL4B,SMD3,,3,0.86
CUL4B,SMD2,,3,0.86
CUL4B,RUXE,,3,0.86
CUL4B,CSN4,,3,0.89
CUL3,CSN4,,1,0.87
CUL2,CSN4,,3,0.82
HSP74,DNJC7,,3,0.83
CUL4B,RU17,,3,0.86
CUL4B,RSMB,,3,0.86
SORC1,SORT,,3,0.87
AGO4,TNR6C,,3,0.85
ITCH,TAXB1,,3,0.82
PRPF3,PRP31,,3,0.89
ABL1,PSA7,,1,0.83
PCGF1,UBP7,,3,0.87
YAF2,SKP1,,3,0.83
BUB1B,MD2BP,,1,0.83
SHC1,MYH9,MYH9,2,0.82
LRRK1,SHC1,,3,0.83
UBP28,UBP28,,3,0.88
P85B,P85A,,3,0.83
NALP2,"SUGT1,SGT1",,3,0.82
TAU,PRS7,,3,0.82
NEDD8,CH60,,3,0.82
NEDD8,GRP75,,3,0.82
NEDD8,GRP78,,3,0.82
NEDD8,HSP74,,3,0.84
SE1L1,ERLEC,,3,0.87
FA8A1,SE1L1,,3,0.86
CUL3,NDUS3,,1,0.86
H2AZ,EP400,,3,0.83
TRAF4,PRS6A,,3,0.87
UBQL1,UBXN4,,3,0.85
DCNL1,CSN7B,,3,0.82
CUL4B,G3P,,3,0.87
RING2,KDM2B,,3,0.94
KLHL7,CUL3,CUL3,2,0.88
CUL3,UBP25,,1,0.82
CUL3,ACLY,,1,0.84
CUL1,CSN7B,,3,0.87
CUL1,FBXL8,,3,0.82
TLX1,TLE1,,1,0.85
SC61B,SC61B,,3,0.82
DX39B,THOC7,,3,0.88
FAF1,HSP74,,3,0.85
CUL2,UBP25,,3,0.82
DDB2,CSN3,,1,0.83
CUL2,CSN7B,,3,0.82
PPIH,PRPF3,,3,0.82
NH2L1,PRP31,,3,0.88
PCGF6,WDR5,,3,0.87
ROA1,U520,,3,0.82
TPC2L,TPC6A,,3,0.83
ARRB2,TRAF6,,3,0.83
ELOB,ZY11B,,0,0.82
NEDD8,SAHH,,3,0.82
CUL1,FXL17,,3,0.83
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
TE2IP,H4,,3,0.86
NEDD8,ROA2,,3,0.82
NEDD8,HNRPD,,3,0.82
NEDD8,HNRH3,,3,0.82
NEDD8,HNRPF,,3,0.82
NEDD8,HNRPK,,3,0.82
UHRF1,H31T,,1,0.86
UBS3B,UBS3B,,3,0.83
UBQL1,TERA,,3,0.85
PCGF1,BCORL,,3,0.9
CUL3,KBTB4,,1,0.87
PININ,SAP18,,3,0.82
THOC2,THOC3,,3,0.87
NC2B,SGF29,,3,0.83
TPC12,TPC6B,,3,0.87
CSN6,FXL14,,3,0.87
PRDM1,SUMO1,,1,0.86
CUL4A,HNRL1,,3,0.82
CUL4A,PWP1,,3,0.83
RB,ANC2,,3,0.82
ASB2,FLNA,FLNA,2,0.81
BACD2,CSK2B,,3,0.85
LRRK2,PLEC,,3,0.82
BATF3,JUN,JUN,2,0.9
LLR1,CSN7A,,3,0.82
AMOT,AMOL2,,3,0.87
STX6,VPS54,,3,0.82
MYO6,TAXB1,,3,0.89
NEDD8,DCAF7,,3,0.82
GBB2,GNAI3,,3,0.94
GBB2,GNAI2,,3,0.89
CUL4B,CSN1,,3,0.83
LRRK2,MDN1,,3,0.82
CA124,TERA,,3,0.81
MKLN1,MKLN1,,3,0.82
CUL4A,NFKB1,,3,0.82
RN185,RNF5,,3,0.83
WDR5,TADA3,,0,0.87
PCMD2,CUL5,,3,0.87
ROA1,DDX21,,3,0.86
LRRK2,PRKDC,,3,0.83
DDB2,CSN2,,1,0.83
MP2K3,MP2K3,,3,0.85
RBX1,FBW1A,,3,0.86
CUL3,KCTD3,,1,0.87
BROX,CHM4B,,0,0.89
PCGF6,HDAC1,,3,0.87
PHC3,CBX8,,0,0.87
CRYAA,CRBA1,,3,0.86
SUMO1,SUMO3,,3,0.86
LRRK2,MP2K3,,3,0.88
AKT1,ENOG,,1,0.82
LRRK2,MP2K6,,3,0.84
LRRK2,MP2K7,,3,0.83
CUL3,ANR39,,1,0.87
MBIP1,TAD2A,,3,0.83
SIAH2,UBP19,,3,0.82
SUMO1,PIAS3,,3,0.85
UBP19,SIAH1,,3,0.89
TFAP4,CABIN,,3,0.83
UBP4,TGFR1,,3,0.8
NEMO,PP2AA,,3,0.87
OS9,SYVN1,,3,0.83
H2AZ,EPC1,,3,0.87
NBN,COM1,,1,0.85
RND3,PKHG5,,3,0.83
TDRD3,PAIRB,,3,0.82
1433Z,ERRFI,,3,0.82
UBP37,SKP1,,3,0.82
BAG3,CRYAB,,3,0.85
CUL3,KLH11,,1,0.9
TPC2L,TPC6B,,3,0.82
LRRK2,RL23,,3,0.82
CK5P2,TBG1,,3,0.86
CDK7,T2EA,,3,0.81
CSN5,CAND1,,3,0.86
CUL4B,UBB,,3,0.82
CUL3,BTBD2,,1,0.87
NEDD8,UBP11,,3,0.82
PSA2,SKP1,,3,0.82
ACK1,ANDR,,3,0.84
TPPC8,TPC12,,3,0.89
CSN5,RTCB,,3,0.82
CUL3,KLH26,,1,0.87
CSN5,DTL,,3,0.83
CUL4A,SFXN1,,3,0.86
CSN5,CRBN,,3,0.87
PIM1,MARK3,,1,0.89
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
H31,CDAN1,,3,0.83
PCGF6,TFDP1,,3,0.87
SNAI1,HDAC3,,3,0.85
LRRK2,BAG5,,3,0.89
UBD,UBE2Z,,3,0.89
PSA1,POMP,,3,0.89
SGSM3,RAB5C,,3,0.82
LRRK2,TBA1C,,3,0.8
TBCD5,VP26B,,3,0.83
CUL3,CUL5,,1,0.82
CSN7A,DCA11,,3,0.83
HSP74,HSP7C,,3,0.89
CSN5,FBXL5,,3,0.87
LRRK2,AGO2,,3,0.86
YAF2,E2F6,,3,0.87
H2AZ,KAT5,,3,0.87
AP2M1,BMP2K,,3,0.83
HDAC2,NFAC1,,3,0.82
SMAD7,NED4L,,3,0.9
AP2M1,CLH1,,3,0.82
CSN5,SKP1,,3,0.88
KHDR1,ASPP1,,3,0.82
FBX27,SKP1,,3,0.83
PHC3,CBX6,,0,0.83
CSN5,TP4AP,,3,0.82
PTN14,KIBRA,,3,0.83
ESR1,UIMC1,,1,0.87
TBCD5,VPS35,,3,0.83
NEDD8,DCA11,,3,0.82
COMD1,SODC,,3,0.8
AP2M1,AP2S1,,3,0.89
NEMO,SHRPN,,3,0.89
LRRK2,DYHC1,,3,0.82
PRPK,LAGE3,,3,0.85
ANDR,DCAF6,,3,0.84
HD,TERA,,3,0.86
SUMO1,ZCH12,,3,0.83
YETS2,WDR5,,3,0.87
TAXB1,TBK1,,3,0.83
YETS2,TADA3,,3,0.83
H2AZ,SRCAP,,3,0.83
PTN11,PAF1,,3,0.82
CUL4B,TBB1,,3,0.86
SH3K1,MILK1,,3,0.83
FBX6,CUL1,,3,0.85
SUMO1,ZMYM2,ZMYM2,2,0.82
ESR1,EHMT2,,1,0.84
GBB1,WDR26,,3,0.85
MYO6,CACO2,,3,0.89
UBD,EF1A1,,3,0.82
CUL5,PEBB,,3,0.9
PRP6,U520,,3,0.99
LRRK2,ACTG,,3,0.87
CUL5,WSB2,,3,0.87
PHC1,CBX2,,3,0.87
RNF8,CHK2,,3,0.8
H2AZ,MO4L1,,3,0.83
CSN5,RLA0,,3,0.82
LMAN1,PDIA1,,3,0.82
OPTN,MYO6,,3,0.85
CUL3,ANFY1,,1,0.82
TPRKB,OSGEP,,3,0.94
CRK,PK3CB,,3,0.82
TDRD3,FXR1,,3,0.85
CUL3,SYLC,,1,0.86
VHL,KPCD,,1,0.83
CSN4,CRBN,,3,0.83
ANDR,FKBP4,,3,0.82
BRCA1,ROA2,,1,0.83
CUL1,HNRPL,,3,0.82
1433Z,IF4B,,3,0.86
GBB5,PHLP,,3,0.83
HMMR,BRCA1,BRCA1,2,0.83
CUL2,UBC12,,3,0.82
AP2M1,NECP2,,3,0.87
CFTR,RB11A,,3,0.82
NH2L1,PRPF3,,3,0.87
DKC1,NHP2,,3,0.94
RHBT3,RHBT3,,3,0.82
ASF1A,RBBP7,,3,0.87
ASF1A,RBBP4,,3,0.87
UBA6,UBE2Z,,3,0.81
CAND1,RBM39,,3,0.82
CUL5,PCMD1,,3,0.87
DKC1,NOP10,,3,0.88
T2FA,ERCC2,ERCC2,2,0.85
NEDD8,DDX17,,3,0.82
KCNA3,KCNA5,,3,0.89
CUL2,RPB1,,3,0.82
BAHD1,HDAC1,,3,0.83
BACD2,BACD3,,3,0.87
CUL4B,MYOV2,,3,0.83
FBX5,CDC23,,3,0.85
LLR1,CSN8,,3,0.83
1433T,PKP2,,3,0.88
UBXN4,CALX,,3,0.86
PCGF3,RYBP,,3,0.89
ASF1A,CDAN1,,3,0.88
GBG12,GBB3,,3,0.83
RYBP,BCORL,,3,0.87
GBB1,GBG12,,3,0.86
PSB9,PSB5,,3,0.95
LLR1,CSN2,,3,0.83
YAF2,TFDP1,,3,0.87
PSB9,PRS8,,3,0.86
PIAS4,VHL,VHL,2,0.81
CSN6,KCD18,,3,0.82
NEUL4,ECI2,,3,0.82
TPPC4,TPC10,,3,0.82
EPN1,EPN3,,3,0.84
SPF27,CWC15,,3,0.86
CUL3,DHX15,,1,0.86
VPS54,VPS53,,3,0.89
NF2L2,ENC1,,3,0.81
EHD3,RBNS5,,3,0.87
PRKN2,G3P,,3,0.87
NEDD8,DAZP1,,3,0.86
PHC1,CBX6,,3,0.87
IMB1,RAE1L,,3,0.88
CSN6,ELOB,,3,0.83
NEUL4,SSA27,,3,0.83
SH3K1,SH319,,3,0.83
MBIP1,KAT2B,,3,0.83
RING2,FBRS,,3,0.83
SPF27,CTBL1,,3,0.82
DERL1,FAF2,,3,0.83
YAF2,BCOR,BCOR,2,0.87
CUL4A,MYOV2,,3,0.83
THOC2,THOC7,,3,0.87
SPAST,IST1,,3,0.95
FKBP8,EGLN1,,3,0.9
DCAF7,DIAP1,,0,0.87
CUL3,AKP8L,,1,0.86
STX6,VPS53,,3,0.82
TF2H3,TF2H4,,3,0.95
COPG2,COPA,,3,0.88
NEDD8,ROA3,,3,0.82
CUL2,FEM1C,,3,0.82
CUL3,RHBT1,,1,0.87
SYUA,CRYAB,,3,0.88
TPC2A,TPPC5,,3,0.83
PHC3,CBX2,,0,0.83
CUL3,BACD3,,1,0.89
STK3,MOB1A,,3,0.89
CUL4B,DCA16,,3,0.85
TNAP3,TNIP3,,3,0.83
WWTR1,1433T,,1,0.83
PRS8,PSMD8,,3,0.89
DX39B,THOC3,,3,0.85
CCND3,CDK2,,1,0.83
CDK2,RS3,,3,0.81
POMP,PSA5,,3,0.83
BRCA1,ATRIP,,1,0.89
PSB8,POMP,,3,0.83
SH3K1,VP37B,,3,0.82
APOB,TERA,,3,0.83
SYUA,PRS6A,,3,0.8
PRS8,PSB5,,3,0.89
CSN6,SKP1,,3,0.82
CDK9,ANXA2,,3,0.82
DERL2,FAF2,,3,0.83
CUL1,HS90A,,3,0.82
CUL1,HSP74,,3,0.82
NXF1,IMB1,,3,0.85
UBN1,ASF1A,,3,0.89
CUL4B,RBM3,,3,0.86
AGO1,TNR6A,,3,0.89
SH3K1,RHG17,,3,0.83
NEDD8,PAIRB,,3,0.82
FBXW7,RBX1,,1,0.89
ROA1,PTCD1,,3,0.83
FBW1A,EF2K,,3,0.88
UBQL1,STAM2,,3,0.82
CSN5,DNM1L,,3,0.82
ROA1,PUF60,,3,0.82
UCHL5,UCHL5,,3,0.88
CSN5,FEM1B,,3,0.82
NFAC2,I2BP2,,3,0.84
GRB2,CLH1,,3,0.82
FZR,UBP37,,3,0.83
CSK2B,WEE1,,3,0.82
MD2L2,RAN,,3,0.82
CUL3,KCTD6,,1,0.9
SLD5,PSF1,,3,0.99
ROA1,DHX30,,3,0.83
CSN3,DCA11,,3,0.83
ECM29,PSMD1,,3,0.82
ECM29,PRS10,,3,0.82
TRIM1,UB2D2,,3,0.82
TRIM1,UB2D3,,3,0.82
TRIM1,UB2D1,,3,0.83
CAF1A,H32,,3,0.82
CAF1A,H32,,3,0.82
CAF1A,H32,,3,0.82
